journey_date,train_number,seq,station_code,sched_arr,sched_dep,actual_arr,actual_dep,delay_at_dep_min,sec_congestion,sec_sr_km,sec_sr_speed,sec_fog
2026-07-25,12302,6,DHN,2026-07-26T06:57:00+05:30,2026-07-26T07:02:00+05:30,2026-07-26T06:54:53+05:30,2026-07-26T07:02:32+05:30,0.54463,0,0,0,0
2026-07-25,12302,7,ASN,2026-07-26T07:55:00+05:30,2026-07-26T07:57:00+05:30,2026-07-26T07:55:44+05:30,2026-07-26T07:59:32+05:30,2.53361,0,0,0,0
2026-07-25,12302,8,HWH,2026-07-26T09:55:00+05:30,,2026-07-26T09:54:18+05:30,,,0,0,0,0
2026-07-26,12301,1,HWH,,2026-07-26T16:50:00+05:30,,2026-07-26T17:00:43+05:30,10.7262,,,,
2026-07-26,12301,2,ASN,2026-07-26T18:48:00+05:30,2026-07-26T18:50:00+05:30,2026-07-26T18:50:49+05:30,2026-07-26T18:52:52+05:30,2.88164,0,0,0,0
2026-07-26,12301,3,DHN,2026-07-26T19:43:00+05:30,2026-07-26T19:48:00+05:30,2026-07-26T19:43:06+05:30,2026-07-26T19:50:19+05:30,2.32773,0,0,0,0
2026-07-26,12301,4,GAYA,2026-07-26T22:03:00+05:30,2026-07-26T22:06:00+05:30,2026-07-26T22:11:12+05:30,2026-07-26T22:17:41+05:30,11.69036,0,24.94028,45,0
2026-07-26,12301,5,DDU,2026-07-27T00:35:00+05:30,2026-07-27T00:45:00+05:30,2026-07-27T00:54:40+05:30,2026-07-27T01:11:33+05:30,26.55446,1,0,0,0
2026-07-26,12301,6,PRYJ,2026-07-27T02:28:00+05:30,2026-07-27T02:30:00+05:30,2026-07-27T02:40:54+05:30,2026-07-27T02:51:41+05:30,21.69763,0,0,0,0
2026-07-26,12301,7,CNB,2026-07-27T04:45:00+05:30,2026-07-27T04:50:00+05:30,2026-07-27T05:17:16+05:30,2026-07-27T05:26:08+05:30,36.13779,1,0,0,0
2026-07-26,12301,8,NDLS,2026-07-27T10:00:00+05:30,,2026-07-27T10:03:41+05:30,,,0,0,0,0
2026-07-26,12302,1,NDLS,,2026-07-26T16:55:00+05:30,,2026-07-26T16:56:20+05:30,1.33413,,,,
2026-07-26,12302,2,CNB,2026-07-26T22:00:00+05:30,2026-07-26T22:05:00+05:30,2026-07-26T21:33:46+05:30,2026-07-26T22:05:00+05:30,0.0,0,0,0,0
2026-07-26,12302,3,PRYJ,2026-07-27T00:15:00+05:30,2026-07-27T00:17:00+05:30,2026-07-27T00:02:36+05:30,2026-07-27T00:17:00+05:30,0.0,0,0,0,0
2026-07-26,12302,4,DDU,2026-07-27T02:00:00+05:30,2026-07-27T02:10:00+05:30,2026-07-27T01:52:27+05:30,2026-07-27T02:10:00+05:30,0.0,0,0,0,0
2026-07-26,12302,5,GAYA,2026-07-27T04:39:00+05:30,2026-07-27T04:42:00+05:30,2026-07-27T04:55:32+05:30,2026-07-27T05:07:27+05:30,25.46176,0,0,0,1
2026-07-26,12302,6,DHN,2026-07-27T06:57:00+05:30,2026-07-27T07:02:00+05:30,2026-07-27T07:32:02+05:30,2026-07-27T07:40:25+05:30,38.42762,0,0,0,1
2026-07-26,12302,7,ASN,2026-07-27T07:55:00+05:30,2026-07-27T07:57:00+05:30,2026-07-27T08:47:36+05:30,2026-07-27T08:49:01+05:30,52.03217,0,0,0,1
2026-07-26,12302,8,HWH,2026-07-27T09:55:00+05:30,,2026-07-27T11:01:52+05:30,,,0,0,0,1
2026-07-27,12301,1,HWH,,2026-07-27T16:50:00+05:30,,2026-07-27T16:58:12+05:30,8.20979,,,,
2026-07-27,12301,2,ASN,2026-07-27T18:48:00+05:30,2026-07-27T18:50:00+05:30,2026-07-27T18:51:13+05:30,2026-07-27T18:54:55+05:30,4.92741,0,0,0,0
2026-07-27,12301,3,DHN,2026-07-27T19:43:00+05:30,2026-07-27T19:48:00+05:30,2026-07-27T19:44:25+05:30,2026-07-27T19:49:58+05:30,1.97529,0,0,0,0
2026-07-27,12301,4,GAYA,2026-07-27T22:03:00+05:30,2026-07-27T22:06:00+05:30,2026-07-27T21:54:54+05:30,2026-07-27T22:06:00+05:30,0.0,0,0,0,0
2026-07-27,12301,5,DDU,2026-07-28T00:35:00+05:30,2026-07-28T00:45:00+05:30,2026-07-28T00:26:28+05:30,2026-07-28T00:45:00+05:30,0.0,0,0,0,0
2026-07-27,12301,6,PRYJ,2026-07-28T02:28:00+05:30,2026-07-28T02:30:00+05:30,2026-07-28T02:24:14+05:30,2026-07-28T02:30:00+05:30,0.0,0,0,0,0
2026-07-27,12301,7,CNB,2026-07-28T04:45:00+05:30,2026-07-28T04:50:00+05:30,2026-07-28T04:44:20+05:30,2026-07-28T04:50:00+05:30,0.0,0,0,0,0
2026-07-27,12301,8,NDLS,2026-07-28T10:00:00+05:30,,2026-07-28T09:48:25+05:30,,,0,0,0,0
2026-07-27,12302,1,NDLS,,2026-07-27T16:55:00+05:30,,2026-07-27T17:14:16+05:30,19.27608,,,,
2026-07-27,12302,2,CNB,2026-07-27T22:00:00+05:30,2026-07-27T22:05:00+05:30,2026-07-27T21:57:19+05:30,2026-07-27T22:05:00+05:30,0.0,0,0,0,0
2026-07-27,12302,3,PRYJ,2026-07-28T00:15:00+05:30,2026-07-28T00:17:00+05:30,2026-07-28T00:00:43+05:30,2026-07-28T00:17:00+05:30,0.0,0,0,0,0
2026-07-27,12302,4,DDU,2026-07-28T02:00:00+05:30,2026-07-28T02:10:00+05:30,2026-07-28T01:51:47+05:30,2026-07-28T02:10:00+05:30,0.0,0,0,0,0
2026-07-27,12302,5,GAYA,2026-07-28T04:39:00+05:30,2026-07-28T04:42:00+05:30,2026-07-28T04:35:40+05:30,2026-07-28T04:42:00+05:30,0.0,0,0,0,0
2026-07-27,12302,6,DHN,2026-07-28T06:57:00+05:30,2026-07-28T07:02:00+05:30,2026-07-28T06:49:28+05:30,2026-07-28T07:02:00+05:30,0.0,0,0,0,0
2026-07-27,12302,7,ASN,2026-07-28T07:55:00+05:30,2026-07-28T07:57:00+05:30,2026-07-28T07:53:55+05:30,2026-07-28T07:57:00+05:30,0.0,0,0,0,0
2026-07-27,12302,8,HWH,2026-07-28T09:55:00+05:30,,2026-07-28T09:48:12+05:30,,,0,0,0,0
2026-07-28,12301,1,HWH,,2026-07-28T16:50:00+05:30,,2026-07-28T18:15:34+05:30,85.58202,,,,
2026-07-28,12301,2,ASN,2026-07-28T18:48:00+05:30,2026-07-28T18:50:00+05:30,2026-07-28T20:07:11+05:30,2026-07-28T20:13:07+05:30,83.12211,0,0,0,0
2026-07-28,12301,3,DHN,2026-07-28T19:43:00+05:30,2026-07-28T19:48:00+05:30,2026-07-28T21:09:48+05:30,2026-07-28T21:15:55+05:30,87.93167,0,0,0,0
2026-07-28,12301,4,GAYA,2026-07-28T22:03:00+05:30,2026-07-28T22:06:00+05:30,2026-07-28T23:26:29+05:30,2026-07-28T23:29:58+05:30,83.97213,0,0,0,0
2026-07-28,12301,5,DDU,2026-07-29T00:35:00+05:30,2026-07-29T00:45:00+05:30,2026-07-29T01:54:53+05:30,2026-07-29T02:16:43+05:30,91.7188,0,0,0,0
2026-07-28,12301,6,PRYJ,2026-07-29T02:28:00+05:30,2026-07-29T02:30:00+05:30,2026-07-29T04:03:05+05:30,2026-07-29T04:04:29+05:30,94.48831,0,0,0,0
2026-07-28,12301,7,CNB,2026-07-29T04:45:00+05:30,2026-07-29T04:50:00+05:30,2026-07-29T06:17:25+05:30,2026-07-29T06:22:36+05:30,92.60299,0,0,0,0
2026-07-28,12301,8,NDLS,2026-07-29T10:00:00+05:30,,2026-07-29T11:32:21+05:30,,,0,0,0,0
2026-07-28,12302,1,NDLS,,2026-07-28T16:55:00+05:30,,2026-07-28T16:57:55+05:30,2.91836,,,,
2026-07-28,12302,2,CNB,2026-07-28T22:00:00+05:30,2026-07-28T22:05:00+05:30,2026-07-28T22:12:43+05:30,2026-07-28T22:18:41+05:30,13.69784,1,0,0,0
2026-07-28,12302,3,PRYJ,2026-07-29T00:15:00+05:30,2026-07-29T00:17:00+05:30,2026-07-29T00:16:33+05:30,2026-07-29T00:17:54+05:30,0.91341,0,0,0,0
2026-07-28,12302,4,DDU,2026-07-29T02:00:00+05:30,2026-07-29T02:10:00+05:30,2026-07-29T02:30:11+05:30,2026-07-29T02:39:33+05:30,29.56052,1,0,0,0
2026-07-28,12302,5,GAYA,2026-07-29T04:39:00+05:30,2026-07-29T04:42:00+05:30,2026-07-29T05:04:48+05:30,2026-07-29T05:11:12+05:30,29.20587,0,0,0,0
2026-07-28,12302,6,DHN,2026-07-29T06:57:00+05:30,2026-07-29T07:02:00+05:30,2026-07-29T07:11:16+05:30,2026-07-29T07:19:26+05:30,17.44012,0,0,0,0
2026-07-28,12302,7,ASN,2026-07-29T07:55:00+05:30,2026-07-29T07:57:00+05:30,2026-07-29T08:13:49+05:30,2026-07-29T08:14:51+05:30,17.85812,0,0,0,0
2026-07-28,12302,8,HWH,2026-07-29T09:55:00+05:30,,2026-07-29T10:03:46+05:30,,,0,0,0,0
2026-07-29,12301,1,HWH,,2026-07-29T16:50:00+05:30,,2026-07-29T16:54:41+05:30,4.69465,,,,
2026-07-29,12301,2,ASN,2026-07-29T18:48:00+05:30,2026-07-29T18:50:00+05:30,2026-07-29T18:55:25+05:30,2026-07-29T18:58:57+05:30,8.95949,0,16.85761,45,0
2026-07-29,12301,3,DHN,2026-07-29T19:43:00+05:30,2026-07-29T19:48:00+05:30,2026-07-29T19:52:44+05:30,2026-07-29T19:56:59+05:30,8.99141,0,0,0,0
2026-07-29,12301,4,GAYA,2026-07-29T22:03:00+05:30,2026-07-29T22:06:00+05:30,2026-07-29T22:12:01+05:30,2026-07-29T22:14:40+05:30,8.6796,0,0,0,0
2026-07-29,12301,5,DDU,2026-07-30T00:35:00+05:30,2026-07-30T00:45:00+05:30,2026-07-30T00:31:56+05:30,2026-07-30T00:45:00+05:30,0.0,0,0,0,0
2026-07-29,12301,6,PRYJ,2026-07-30T02:28:00+05:30,2026-07-30T02:30:00+05:30,2026-07-30T02:29:23+05:30,2026-07-30T02:33:50+05:30,3.84237,0,0,0,0
2026-07-29,12301,7,CNB,2026-07-30T04:45:00+05:30,2026-07-30T04:50:00+05:30,2026-07-30T04:41:54+05:30,2026-07-30T04:50:00+05:30,0.0,0,0,0,0
2026-07-29,12301,8,NDLS,2026-07-30T10:00:00+05:30,,2026-07-30T09:46:52+05:30,,,0,0,0,0
2026-07-29,12302,1,NDLS,,2026-07-29T16:55:00+05:30,,2026-07-29T17:24:18+05:30,29.30491,,,,
2026-07-29,12302,2,CNB,2026-07-29T22:00:00+05:30,2026-07-29T22:05:00+05:30,2026-07-29T22:24:28+05:30,2026-07-29T22:32:53+05:30,27.89045,1,0,0,0
2026-07-29,12302,3,PRYJ,2026-07-30T00:15:00+05:30,2026-07-30T00:17:00+05:30,2026-07-30T00:42:16+05:30,2026-07-30T00:47:36+05:30,30.60196,0,0,0,0
2026-07-29,12302,4,DDU,2026-07-30T02:00:00+05:30,2026-07-30T02:10:00+05:30,2026-07-30T03:02:36+05:30,2026-07-30T03:15:30+05:30,65.51394,1,10.49573,45,0
2026-07-29,12302,5,GAYA,2026-07-30T04:39:00+05:30,2026-07-30T04:42:00+05:30,2026-07-30T05:41:16+05:30,2026-07-30T05:46:46+05:30,64.77361,0,0,0,0
2026-07-29,12302,6,DHN,2026-07-30T06:57:00+05:30,2026-07-30T07:02:00+05:30,2026-07-30T07:50:34+05:30,2026-07-30T07:55:33+05:30,53.56573,0,0,0,0
2026-07-29,12302,7,ASN,2026-07-30T07:55:00+05:30,2026-07-30T07:57:00+05:30,2026-07-30T08:47:10+05:30,2026-07-30T08:49:17+05:30,52.29738,0,0,0,0
2026-07-29,12302,8,HWH,2026-07-30T09:55:00+05:30,,2026-07-30T10:32:24+05:30,,,0,0,0,0
2026-07-30,12301,1,HWH,,2026-07-30T16:50:00+05:30,,2026-07-30T16:50:20+05:30,0.3471,,,,
2026-07-30,12301,2,ASN,2026-07-30T18:48:00+05:30,2026-07-30T18:50:00+05:30,2026-07-30T18:45:45+05:30,2026-07-30T18:50:00+05:30,0.0,0,0,0,0
2026-07-30,12301,3,DHN,2026-07-30T19:43:00+05:30,2026-07-30T19:48:00+05:30,2026-07-30T19:37:00+05:30,2026-07-30T19:48:00+05:30,0.0,0,0,0,0
2026-07-30,12301,4,GAYA,2026-07-30T22:03:00+05:30,2026-07-30T22:06:00+05:30,2026-07-30T21:46:56+05:30,2026-07-30T22:06:00+05:30,0.0,0,0,0,0
2026-07-30,12301,5,DDU,2026-07-31T00:35:00+05:30,2026-07-31T00:45:00+05:30,2026-07-31T00:31:10+05:30,2026-07-31T00:45:00+05:30,0.0,0,0,0,0
2026-07-30,12301,6,PRYJ,2026-07-31T02:28:00+05:30,2026-07-31T02:30:00+05:30,2026-07-31T02:23:05+05:30,2026-07-31T02:30:00+05:30,0.0,0,0,0,0
2026-07-30,12301,7,CNB,2026-07-31T04:45:00+05:30,2026-07-31T04:50:00+05:30,2026-07-31T04:41:00+05:30,2026-07-31T04:50:00+05:30,0.0,0,0,0,0
2026-07-30,12301,8,NDLS,2026-07-31T10:00:00+05:30,,2026-07-31T09:20:20+05:30,,,0,0,0,0
2026-07-30,12302,1,NDLS,,2026-07-30T16:55:00+05:30,,2026-07-30T17:15:34+05:30,20.57889,,,,
2026-07-30,12302,2,CNB,2026-07-30T22:00:00+05:30,2026-07-30T22:05:00+05:30,2026-07-30T22:10:31+05:30,2026-07-30T22:17:51+05:30,12.85357,0,0,0,0
2026-07-30,12302,3,PRYJ,2026-07-31T00:15:00+05:30,2026-07-31T00:17:00+05:30,2026-07-31T00:20:35+05:30,2026-07-31T00:24:54+05:30,7.91283,0,0,0,0
2026-07-30,12302,4,DDU,2026-07-31T02:00:00+05:30,2026-07-31T02:10:00+05:30,2026-07-31T02:03:46+05:30,2026-07-31T02:13:38+05:30,3.64574,0,0,0,0
2026-07-30,12302,5,GAYA,2026-07-31T04:39:00+05:30,2026-07-31T04:42:00+05:30,2026-07-31T04:51:15+05:30,2026-07-31T04:57:11+05:30,15.19145,0,0,0,1
2026-07-30,12302,6,DHN,2026-07-31T06:57:00+05:30,2026-07-31T07:02:00+05:30,2026-07-31T07:18:40+05:30,2026-07-31T07:26:02+05:30,24.04486,0,0,0,1
2026-07-30,12302,7,ASN,2026-07-31T07:55:00+05:30,2026-07-31T07:57:00+05:30,2026-07-31T08:32:17+05:30,2026-07-31T08:34:42+05:30,37.71423,0,0,0,1
2026-07-30,12302,8,HWH,2026-07-31T09:55:00+05:30,,2026-07-31T10:36:31+05:30,,,0,0,0,1
2026-07-31,12301,1,HWH,,2026-07-31T16:50:00+05:30,,2026-07-31T17:34:05+05:30,44.09212,,,,
2026-07-31,12301,2,ASN,2026-07-31T18:48:00+05:30,2026-07-31T18:50:00+05:30,2026-07-31T19:26:15+05:30,2026-07-31T19:31:05+05:30,41.09611,0,0,0,0
2026-07-31,12301,3,DHN,2026-07-31T19:43:00+05:30,2026-07-31T19:48:00+05:30,2026-07-31T20:22:39+05:30,2026-07-31T20:29:32+05:30,41.54258,0,0,0,0
2026-07-31,12301,4,GAYA,2026-07-31T22:03:00+05:30,2026-07-31T22:06:00+05:30,2026-07-31T22:33:53+05:30,2026-07-31T22:39:19+05:30,33.32482,0,0,0,0
2026-07-31,12301,5,DDU,2026-08-01T00:35:00+05:30,2026-08-01T00:45:00+05:30,2026-08-01T01:29:21+05:30,2026-08-01T01:42:15+05:30,57.25093,1,0,0,0
2026-07-31,12301,6,PRYJ,2026-08-01T02:28:00+05:30,2026-08-01T02:30:00+05:30,2026-08-01T03:21:05+05:30,2026-08-01T03:24:52+05:30,54.87684,0,0,0,0
2026-07-31,12301,7,CNB,2026-08-01T04:45:00+05:30,2026-08-01T04:50:00+05:30,2026-08-01T05:33:57+05:30,2026-08-01T05:40:17+05:30,50.28939,1,0,0,0
2026-07-31,12301,8,NDLS,2026-08-01T10:00:00+05:30,,2026-08-01T10:30:29+05:30,,,0,0,0,0
2026-07-31,12302,1,NDLS,,2026-07-31T16:55:00+05:30,,2026-07-31T16:59:04+05:30,4.07503,,,,
2026-07-31,12302,2,CNB,2026-07-31T22:00:00+05:30,2026-07-31T22:05:00+05:30,2026-07-31T21:55:35+05:30,2026-07-31T22:05:00+05:30,0.0,0,0,0,0
2026-07-31,12302,3,PRYJ,2026-08-01T00:15:00+05:30,2026-08-01T00:17:00+05:30,2026-08-01T00:07:21+05:30,2026-08-01T00:17:00+05:30,0.0,0,0,0,0
2026-07-31,12302,4,DDU,2026-08-01T02:00:00+05:30,2026-08-01T02:10:00+05:30,2026-08-01T01:47:26+05:30,2026-08-01T02:10:00+05:30,0.0,0,0,0,0
2026-07-31,12302,5,GAYA,2026-08-01T04:39:00+05:30,2026-08-01T04:42:00+05:30,2026-08-01T04:34:01+05:30,2026-08-01T04:46:32+05:30,4.54425,0,0,0,0
2026-07-31,12302,6,DHN,2026-08-01T06:57:00+05:30,2026-08-01T07:02:00+05:30,2026-08-01T06:56:17+05:30,2026-08-01T07:02:00+05:30,0.0,0,0,0,0
2026-07-31,12302,7,ASN,2026-08-01T07:55:00+05:30,2026-08-01T07:57:00+05:30,2026-08-01T07:50:16+05:30,2026-08-01T07:57:00+05:30,0.0,0,0,0,0
2026-07-31,12302,8,HWH,2026-08-01T09:55:00+05:30,,2026-08-01T09:51:15+05:30,,,0,0,0,0
2026-08-01,12301,1,HWH,,2026-08-01T16:50:00+05:30,,2026-08-01T17:18:39+05:30,28.65155,,,,
2026-08-01,12301,2,ASN,2026-08-01T18:48:00+05:30,2026-08-01T18:50:00+05:30,2026-08-01T19:13:40+05:30,2026-08-01T19:19:07+05:30,29.12572,0,0,0,0
2026-08-01,12301,3,DHN,2026-08-01T19:43:00+05:30,2026-08-01T19:48:00+05:30,2026-08-01T20:11:50+05:30,2026-08-01T20:19:31+05:30,31.52214,0,0,0,0
2026-08-01,12301,4,GAYA,2026-08-01T22:03:00+05:30,2026-08-01T22:06:00+05:30,2026-08-01T22:28:45+05:30,2026-08-01T22:33:10+05:30,27.18176,0,0,0,0
2026-08-01,12301,5,DDU,2026-08-02T00:35:00+05:30,2026-08-02T00:45:00+05:30,2026-08-02T00:56:29+05:30,2026-08-02T01:09:28+05:30,24.47981,0,0,0,0
2026-08-01,12301,6,PRYJ,2026-08-02T02:28:00+05:30,2026-08-02T02:30:00+05:30,2026-08-02T02:58:39+05:30,2026-08-02T03:02:19+05:30,32.32128,0,0,0,0
2026-08-01,12301,7,CNB,2026-08-02T04:45:00+05:30,2026-08-02T04:50:00+05:30,2026-08-02T05:05:39+05:30,2026-08-02T05:20:57+05:30,30.96596,0,0,0,0
2026-08-01,12301,8,NDLS,2026-08-02T10:00:00+05:30,,2026-08-02T10:36:46+05:30,,,0,16.54705,45,0
2026-08-01,12302,1,NDLS,,2026-08-01T16:55:00+05:30,,2026-08-01T16:58:48+05:30,3.80615,,,,
2026-08-01,12302,2,CNB,2026-08-01T22:00:00+05:30,2026-08-01T22:05:00+05:30,2026-08-01T21:44:44+05:30,2026-08-01T22:05:00+05:30,0.0,0,0,0,0
2026-08-01,12302,3,PRYJ,2026-08-02T00:15:00+05:30,2026-08-02T00:17:00+05:30,2026-08-02T00:10:20+05:30,2026-08-02T00:17:00+05:30,0.0,0,0,0,0
2026-08-01,12302,4,DDU,2026-08-02T02:00:00+05:30,2026-08-02T02:10:00+05:30,2026-08-02T02:00:49+05:30,2026-08-02T02:14:34+05:30,4.5795,0,0,0,0
2026-08-01,12302,5,GAYA,2026-08-02T04:39:00+05:30,2026-08-02T04:42:00+05:30,2026-08-02T04:30:09+05:30,2026-08-02T04:42:00+05:30,0.0,0,0,0,0
2026-08-01,12302,6,DHN,2026-08-02T06:57:00+05:30,2026-08-02T07:02:00+05:30,2026-08-02T06:47:50+05:30,2026-08-02T07:02:00+05:30,0.0,0,0,0,0
2026-08-01,12302,7,ASN,2026-08-02T07:55:00+05:30,2026-08-02T07:57:00+05:30,2026-08-02T07:47:08+05:30,2026-08-02T07:57:00+05:30,0.0,0,0,0,0
2026-08-01,12302,8,HWH,2026-08-02T09:55:00+05:30,,2026-08-02T09:49:18+05:30,,,0,0,0,0
2026-08-02,12301,1,HWH,,2026-08-02T16:50:00+05:30,,2026-08-02T16:50:07+05:30,0.12839,,,,
2026-08-02,12301,2,ASN,2026-08-02T18:48:00+05:30,2026-08-02T18:50:00+05:30,2026-08-02T18:40:11+05:30,2026-08-02T18:50:00+05:30,0.0,0,0,0,0
2026-08-02,12301,3,DHN,2026-08-02T19:43:00+05:30,2026-08-02T19:48:00+05:30,2026-08-02T19:37:10+05:30,2026-08-02T19:48:00+05:30,0.0,0,0,0,0
2026-08-02,12301,4,GAYA,2026-08-02T22:03:00+05:30,2026-08-02T22:06:00+05:30,2026-08-02T22:05:05+05:30,2026-08-02T22:11:00+05:30,5.01075,0,0,0,0
2026-08-02,12301,5,DDU,2026-08-03T00:35:00+05:30,2026-08-03T00:45:00+05:30,2026-08-03T00:38:50+05:30,2026-08-03T00:49:41+05:30,4.68822,0,0,0,0
2026-08-02,12301,6,PRYJ,2026-08-03T02:28:00+05:30,2026-08-03T02:30:00+05:30,2026-08-03T02:29:23+05:30,2026-08-03T02:30:55+05:30,0.92204,0,0,0,0
2026-08-02,12301,7,CNB,2026-08-03T04:45:00+05:30,2026-08-03T04:50:00+05:30,2026-08-03T04:34:12+05:30,2026-08-03T04:50:00+05:30,0.0,0,0,0,0
2026-08-02,12301,8,NDLS,2026-08-03T10:00:00+05:30,,2026-08-03T09:39:27+05:30,,,0,0,0,0
2026-08-02,12302,1,NDLS,,2026-08-02T16:55:00+05:30,,2026-08-02T16:59:02+05:30,4.041,,,,
2026-08-02,12302,2,CNB,2026-08-02T22:00:00+05:30,2026-08-02T22:05:00+05:30,2026-08-02T21:37:06+05:30,2026-08-02T22:05:00+05:30,0.0,0,0,0,0
2026-08-02,12302,3,PRYJ,2026-08-03T00:15:00+05:30,2026-08-03T00:17:00+05:30,2026-08-03T00:18:40+05:30,2026-08-03T00:20:54+05:30,3.9013,0,0,0,0
2026-08-02,12302,4,DDU,2026-08-03T02:00:00+05:30,2026-08-03T02:10:00+05:30,2026-08-03T02:03:02+05:30,2026-08-03T02:24:53+05:30,14.8883,0,0,0,0
2026-08-02,12302,5,GAYA,2026-08-03T04:39:00+05:30,2026-08-03T04:42:00+05:30,2026-08-03T04:43:07+05:30,2026-08-03T04:46:49+05:30,4.82742,0,0,0,0
2026-08-02,12302,6,DHN,2026-08-03T06:57:00+05:30,2026-08-03T07:02:00+05:30,2026-08-03T07:03:46+05:30,2026-08-03T07:20:47+05:30,18.79799,0,0,0,0
2026-08-02,12302,7,ASN,2026-08-03T07:55:00+05:30,2026-08-03T07:57:00+05:30,2026-08-03T08:08:20+05:30,2026-08-03T08:13:08+05:30,16.13654,0,0,0,0
2026-08-02,12302,8,HWH,2026-08-03T09:55:00+05:30,,2026-08-03T10:01:38+05:30,,,0,0,0,0
2026-08-03,12301,1,HWH,,2026-08-03T16:50:00+05:30,,2026-08-03T16:53:57+05:30,3.96466,,,,
2026-08-03,12301,2,ASN,2026-08-03T18:48:00+05:30,2026-08-03T18:50:00+05:30,2026-08-03T18:43:45+05:30,2026-08-03T18:50:00+05:30,0.0,0,0,0,0
2026-08-03,12301,3,DHN,2026-08-03T19:43:00+05:30,2026-08-03T19:48:00+05:30,2026-08-03T19:50:13+05:30,2026-08-03T19:55:34+05:30,7.57852,0,17.03621,45,0
2026-08-03,12301,4,GAYA,2026-08-03T22:03:00+05:30,2026-08-03T22:06:00+05:30,2026-08-03T21:59:15+05:30,2026-08-03T22:06:00+05:30,0.0,0,0,0,0
2026-08-03,12301,5,DDU,2026-08-04T00:35:00+05:30,2026-08-04T00:45:00+05:30,2026-08-04T00:36:09+05:30,2026-08-04T00:47:35+05:30,2.58516,1,0,0,0
2026-08-03,12301,6,PRYJ,2026-08-04T02:28:00+05:30,2026-08-04T02:30:00+05:30,2026-08-04T02:26:29+05:30,2026-08-04T02:30:00+05:30,0.0,0,0,0,0
2026-08-03,12301,7,CNB,2026-08-04T04:45:00+05:30,2026-08-04T04:50:00+05:30,2026-08-04T04:44:49+05:30,2026-08-04T04:50:00+05:30,0.0,1,0,0,0
2026-08-03,12301,8,NDLS,2026-08-04T10:00:00+05:30,,2026-08-04T09:44:39+05:30,,,0,0,0,0
2026-08-03,12302,1,NDLS,,2026-08-03T16:55:00+05:30,,2026-08-03T16:55:37+05:30,0.6314,,,,
2026-08-03,12302,2,CNB,2026-08-03T22:00:00+05:30,2026-08-03T22:05:00+05:30,2026-08-03T21:44:35+05:30,2026-08-03T22:05:00+05:30,0.0,0,0,0,0
2026-08-03,12302,3,PRYJ,2026-08-04T00:15:00+05:30,2026-08-04T00:17:00+05:30,2026-08-04T00:13:02+05:30,2026-08-04T00:17:00+05:30,0.0,0,0,0,0
2026-08-03,12302,4,DDU,2026-08-04T02:00:00+05:30,2026-08-04T02:10:00+05:30,2026-08-04T01:56:04+05:30,2026-08-04T02:10:00+05:30,0.0,0,0,0,0
